year,state,sub_class,area_km
2023.0,MA,corte raso com vegetação,33.22970339388721
2023.0,MA,floresta inundada,0.04423610290972264
2023.0,MA,mineração,2.0114361731681005
2023.0,MA,nao_classificado,5.486748236291896
2023.0,MT,corte raso com solo exposto,656.1954810950166
2023.0,MT,corte raso com vegetação,317.6621478693917
2023.0,MT,mineração,5.7890837132411885
2023.0,MT,nao_classificado,925.4622961623134
2023.0,PA,corte raso com solo exposto,1308.0180604463633
2023.0,PA,corte raso com vegetação,1092.5746487329168
2023.0,PA,floresta inundada,0.09662853786590667
2023.0,PA,mineração,48.11870830389824
2023.0,PA,nao_classificado,434.8060485552895
2023.0,RO,corte raso com solo exposto,415.2558796768162
2023.0,RO,corte raso com vegetação,270.4196925152847
2023.0,RO,floresta inundada,0.032145293802614563
2023.0,RO,mineração,0.3405184627065333
2023.0,RO,nao_classificado,108.28480949136231
2023.0,RR,corte raso com solo exposto,178.70245310739696
2023.0,RR,corte raso com vegetação,79.36906605338211
2023.0,RR,mineração,0.6041635826494133
2023.0,RR,nao_classificado,17.333651193040915
2023.0,TO,corte raso com solo exposto,4.383689781223277
2023.0,TO,corte raso com vegetação,1.070978676198766
2023.0,TO,nao_classificado,1.7307823931866329
